strike,LocalTime,last,high,low,change,avgPrice,OI,ttq,totalBuyQt,totalSellQ,ttv,ltt,bPrice,bQty,sPrice,sQty,ltq
24800,6/20/2025 9:38,136.05,188,128.5,-28.43,139.89,7898700,22359750,854475,775125,312.79C,Fri Jun 20 09:38:58 2025,135.6,1575,135.9,825,75
24800,6/20/2025 9:38,136.15,188,128.5,-28.12,139.89,7898700,22368000,860700,771600,312.91C,Fri Jun 20 09:38:58 2025,135.85,675,136.15,225,75
24800,6/20/2025 9:38,135.85,188,128.5,-28.12,139.89,7898700,22368000,860700,771600,312.91C,Fri Jun 20 09:38:59 2025,135.85,675,136.15,225,75
24800,6/20/2025 9:38,136.95,188,128.5,-27.69,139.89,7898700,22374375,859875,768150,313C,Fri Jun 20 09:39:00 2025,136.6,900,136.95,975,75
24800,6/20/2025 9:38,136.7,188,128.5,-27.69,139.89,7898700,22374375,859875,768150,313C,Fri Jun 20 09:39:00 2025,136.6,900,136.95,975,225
24800,6/20/2025 9:38,135.35,188,128.5,-27.69,139.89,7898700,22374375,859875,768150,313C,Fri Jun 20 09:39:01 2025,136.6,900,136.95,975,75
24800,6/20/2025 9:38,135.25,188,128.5,-28.59,139.89,7898700,22390125,855075,779325,313.22C,Fri Jun 20 09:39:01 2025,135.25,150,135.5,1575,75
24800,6/20/2025 9:39,135.7,188,128.5,-28.59,139.89,7898700,22390125,855075,779325,313.22C,Fri Jun 20 09:39:02 2025,135.25,150,135.5,1575,75
24800,6/20/2025 9:39,135.35,188,128.5,-28.59,139.89,7898700,22390125,855075,779325,313.22C,Fri Jun 20 09:39:03 2025,135.25,150,135.5,1575,150
24800,6/20/2025 9:39,136,188,128.5,-28.19,139.89,7898700,22399350,865350,775125,313.34C,Fri Jun 20 09:39:03 2025,135.75,600,136.05,675,75
24800,6/20/2025 9:39,136.05,188,128.5,-28.19,139.89,7898700,22399350,865350,775125,313.34C,Fri Jun 20 09:39:04 2025,135.75,600,136.05,675,75
24800,6/20/2025 9:39,136,188,128.5,-28.19,139.89,7898700,22401450,868575,773325,313.37C,Fri Jun 20 09:39:04 2025,136.4,750,136.65,150,150
24800,6/20/2025 9:39,136,188,128.5,-28.19,139.89,7898700,22401450,868575,773325,313.37C,Fri Jun 20 09:39:05 2025,136.4,750,136.65,150,150
24800,6/20/2025 9:39,135.95,188,128.5,-28.19,139.89,7898700,22401450,868575,773325,313.37C,Fri Jun 20 09:39:06 2025,136.4,750,136.65,150,225
